Age,Men,Women,Total,Percentage
105 yrs or older,0,0,0,0
104 yrs,0,0,0,0
103 yrs,0,0,0,0
102 yrs,0,0,0,0
101 yrs,0,1000,1000,5.68408E-05
100 yrs,0,1000,1000,5.68408E-05
99 yrs,0,2000,2000,0.000113682
98 yrs,1000,2000,3000,0.000170522
97 yrs,1000,3000,4000,0.000227363
96 yrs,1000,5000,6000,0.000341045
95 yrs,2000,7000,9000,0.000511567
94 yrs,3000,9000,12000,0.000682089
93 yrs,4000,11000,15000,0.000852612
92 yrs,6000,14000,20000,0.001136816
91 yrs,8000,18000,26000,0.001477861
90 yrs,11000,21000,32000,0.001818905
89 yrs,14000,25000,39000,0.002216791
88 yrs,16000,28000,44000,0.002500995
87 yrs,20000,32000,52000,0.002955721
86 yrs,24000,36000,60000,0.003410447
85 yrs,27000,40000,67000,0.003808333
84 yrs,31000,43000,74000,0.004206218
83 yrs,37000,48000,85000,0.004831467
82 yrs,41000,52000,93000,0.005286193
81 yrs,46000,56000,102000,0.00579776
80 yrs,48000,57000,105000,0.005968283
79 yrs,53000,61000,114000,0.00647985
78 yrs,60000,68000,128000,0.007275621
77 yrs,66000,73000,139000,0.00790087
76 yrs,65000,72000,137000,0.007787188
75 yrs,95000,102000,197000,0.011197635
74 yrs,94000,101000,195000,0.011083954
73 yrs,92000,96000,188000,0.010686068
72 yrs,91000,95000,186000,0.010572387
71 yrs,91000,95000,186000,0.010572387
70 yrs,92000,95000,187000,0.010629228
69 yrs,97000,100000,197000,0.011197635
68 yrs,97000,100000,197000,0.011197635
67 yrs,100000,103000,203000,0.01153868
66 yrs,102000,105000,207000,0.011766043
65 yrs,106000,108000,214000,0.012163929
64 yrs,109000,111000,220000,0.012504974
63 yrs,112000,113000,225000,0.012789178
62 yrs,116000,117000,233000,0.013243904
61 yrs,118000,119000,237000,0.013471267
60 yrs,122000,122000,244000,0.013869153
59 yrs,124000,124000,248000,0.014096516
58 yrs,127000,126000,253000,0.01438072
57 yrs,130000,129000,259000,0.014721764
56 yrs,128000,126000,254000,0.01443756
55 yrs,126000,125000,251000,0.014267038
54 yrs,126000,125000,251000,0.014267038
53 yrs,127000,127000,254000,0.01443756
52 yrs,133000,133000,266000,0.01511965
51 yrs,130000,131000,261000,0.014835446
50 yrs,125000,126000,251000,0.014267038
49 yrs,119000,121000,240000,0.013641789
48 yrs,110000,112000,222000,0.012618655
47 yrs,107000,108000,215000,0.01222077
46 yrs,103000,104000,207000,0.011766043
45 yrs,103000,103000,206000,0.011709203
44 yrs,101000,102000,203000,0.01153868
43 yrs,103000,104000,207000,0.011766043
42 yrs,104000,104000,208000,0.011822884
41 yrs,108000,107000,215000,0.01222077
40 yrs,106000,106000,212000,0.012050247
39 yrs,105000,104000,209000,0.011879725
38 yrs,105000,103000,208000,0.011822884
37 yrs,108000,106000,214000,0.012163929
36 yrs,110000,108000,218000,0.012391292
35 yrs,113000,111000,224000,0.012732337
34 yrs,114000,111000,225000,0.012789178
33 yrs,114000,111000,225000,0.012789178
32 yrs,116000,113000,229000,0.013016541
31 yrs,120000,116000,236000,0.013414426
30 yrs,119000,116000,235000,0.013357585
29 yrs,118000,114000,232000,0.013187063
28 yrs,117000,113000,230000,0.013073381
27 yrs,117000,113000,230000,0.013073381
26 yrs,113000,110000,223000,0.012675496
25 yrs,113000,108000,221000,0.012561814
24 yrs,112000,109000,221000,0.012561814
23 yrs,115000,111000,226000,0.012846018
22 yrs,115000,111000,226000,0.012846018
21 yrs,117000,114000,231000,0.013130222
20 yrs,114000,111000,225000,0.012789178
19 yrs,111000,107000,218000,0.012391292
18 yrs,108000,103000,211000,0.011993406
17 yrs,103000,98000,201000,0.011424999
16 yrs,100000,95000,195000,0.011083954
15 yrs,99000,94000,193000,0.010970272
14 yrs,97000,93000,190000,0.01079975
13 yrs,99000,94000,193000,0.010970272
12 yrs,99000,94000,193000,0.010970272
11 yrs,98000,94000,192000,0.010913431
10 yrs,96000,91000,187000,0.010629228
9 yrs,94000,89000,183000,0.010401864
8 yrs,91000,87000,178000,0.01011766
7 yrs,93000,89000,182000,0.010345024
6 yrs,90000,86000,176000,0.010003979
5 yrs,91000,86000,177000,0.01006082
4 yrs,89000,84000,173000,0.009833456
3 yrs,88000,84000,172000,0.009776616
2 yrs,88000,84000,172000,0.009776616
1 yrs,87000,83000,170000,0.009662934
0 yrs,92000,88000,180000,0.010231342